#1:t	2:m	3:gap1	4:kx_itr1	5:gap2	6:kx_itr2	7:...
0.28	0.12	0.019251	4	1.81935	4	
0.282	0.12	0.0286953	3	1.81414	4	
0.284	0.12	0.0381394	4	1.80894	4	
0.286	0.12	0.0475832	3	1.80374	4	
0.288	0.12	0.0570267	3	1.79855	4	

0.24	0.13	0.0902242	3	1.93929	4	
0.242	0.13	0.08078	3	1.93398	4	
0.244	0.13	0.071336	3	1.92868	4	
0.246	0.13	0.0618922	3	1.92338	4	
0.248	0.13	0.0524487	3	1.91809	4	
0.25	0.13	0.0430055	3	1.9128	4	
0.252	0.13	0.0335625	4	1.90752	4	
0.254	0.13	0.0241198	3	1.90224	4	
0.256	0.13	0.0146774	4	1.89697	4	
0.258	0.13	0.00523528	3	1.89171	4	
0.26	0.13	0.00420656	4	1.88644	4	
0.262	0.13	0.0136481	3	1.88119	4	
0.264	0.13	0.0230893	4	1.87594	4	
0.266	0.13	0.0129986	3	1.87069	4	
0.268	0.13	0.00361437	4	1.86545	4	
0.27	0.13	0.00576865	3	1.86022	4	
0.272	0.13	0.0151504	3	1.85499	4	
0.274	0.13	0.0245308	3	1.84976	4	
0.276	0.13	0.00275849	4	1.84454	4	
0.278	0.13	0.00668315	4	1.83933	4	
0.28	0.13	0.0161245	4	1.83412	4	
0.282	0.13	0.0255655	3	1.82892	4	
0.284	0.13	0.0350062	3	1.82372	4	
0.286	0.13	0.0444466	3	1.81853	4	
0.288	0.13	0.0538866	4	1.81334	4	

0.24	0.14	0.0869173	3	1.95397	4	
0.242	0.14	0.0774764	3	1.94866	4	
0.244	0.14	0.0680357	3	1.94337	4	
0.246	0.14	0.0585953	4	1.93807	4	
0.248	0.14	0.0491552	3	1.93278	4	
0.25	0.14	0.0397154	4	1.9275	4	
0.252	0.14	0.0302759	3	1.92222	4	
0.254	0.14	0.0208367	4	1.91695	4	
0.256	0.14	0.0113978	3	1.91168	4	
0.258	0.14	0.00195934	4	1.90642	4	
0.26	0.14	0.00747883	3	1.90117	4	
0.262	0.14	0.0169166	4	1.89591	4	
0.264	0.14	0.0263541	4	1.89067	4	
0.266	0.14	0.0357912	3	1.88543	4	
0.268	0.14	0.00423118	4	1.88019	4	
0.27	0.14	0.00513884	4	1.87496	4	
0.272	0.14	0.0145074	4	1.86973	4	
0.274	0.14	0.0153136	4	1.86451	4	
0.276	0.14	0.0058751	4	1.8593	4	
0.278	0.14	0.00356306	4	1.85409	4	
0.28	0.14	0.0130009	4	1.84889	4	
0.282	0.14	0.0224383	3	1.84369	4	
0.284	0.14	0.0318754	4	1.83849	4	
0.286	0.14	0.0413121	3	1.8333	4	
0.288	0.14	0.0507484	3	1.82812	4	

0.24	0.15	0.0835995	2	1.96863	4	
0.242	0.15	0.0741618	2	1.96334	4	
0.244	0.15	0.0647245	3	1.95804	4	
0.246	0.15	0.0552878	3	1.95275	4	
0.248	0.15	0.0458513	3	1.94747	4	
0.25	0.15	0.0364152	3	1.94219	4	
