#1:kx	2:ky	3:curvature1/2pi	4:curvature2/2pi	5:...
0.1904	2.85599	0.414764	-0.288818	-0.126087
0.1904	2.91946	0.0565001	0.110593	-0.167231
0.1904	2.98293	-0.281629	0.485468	-0.204088
0.1904	3.04639	-0.529013	0.757874	-0.229326
0.1904	3.10986	-0.617526	0.853126	-0.236257
0.1904	3.17333	-0.518326	0.739753	-0.222117
0.1904	3.23679	-0.260203	0.44933	-0.189685
0.1904	3.30026	0.0887044	0.0566523	-0.145713
0.1904	3.36373	0.457711	-0.360236	-0.0976337
0.1904	3.42719	0.798809	-0.747689	-0.051104
0.1904	3.49066	1.09074	-1.08124	-0.00932911
0.1904	3.55413	1.33101	-1.35713	0.0264504
0.1904	3.61759	1.52642	-1.58213	0.0561772
0.1904	3.68106	1.68661	-1.76635	0.0803513
0.1904	3.74452	1.82081	-1.91972	0.0996471
0.1904	3.80799	1.93665	-2.0505	0.11472
0.1904	3.87146	2.03997	-2.16511	0.126127
0.1904	3.93492	2.13506	-2.26825	0.134304
0.1904	3.99839	2.22496	-2.3633	0.139571
0.1904	4.06186	2.31179	-2.45261	0.142149
0.1904	4.12532	2.397	-2.53774	0.142174
0.1904	4.18879	2.48153	-2.61972	0.139715
0.1904	4.25226	2.56595	-2.69913	0.134788
0.1904	4.31572	2.6506	-2.77627	0.127366
0.1904	4.37919	2.73559	-2.85123	0.117389
0.1904	4.44266	2.82092	-2.9239	0.104774
0.1904	4.50612	2.90647	-2.99408	0.0894197
0.1904	4.56959	2.99206	-3.06145	0.0712146
0.1904	4.63306	3.07741	-3.12565	0.0500435
0.1904	4.69652	3.16223	-3.18628	0.0257939
0.1904	4.75999	3.24619	-3.24288	-0.00163725
0.1904	4.82346	3.32892	-3.29501	-0.0323356
0.1904	4.88692	3.41003	-3.34224	-0.0663609
0.1904	4.95039	3.48915	-3.38415	-0.103738
0.1904	5.01385	3.56587	-3.42037	-0.144445
0.1904	5.07732	3.63982	-3.45059	-0.188402
0.1904	5.14079	3.71062	-3.47459	-0.235461
0.1904	5.20425	3.77793	-3.49226	-0.285389
0.1904	5.26772	3.84142	-3.50359	-0.337854
0.1904	5.33119	3.90082	-3.50876	-0.392415
0.1904	5.39465	3.95591	-3.50808	-0.448511
0.1904	5.45812	4.00651	-3.50206	-0.505451
0.1904	5.52159	4.05251	-3.49142	-0.562413
0.1904	5.58505	4.09388	-3.47705	-0.618447
0.1904	5.64852	4.13064	-3.46003	-0.672494
0.1904	5.71199	4.16287	-3.44159	-0.723404
0.1904	5.77545	4.19074	-3.42305	-0.76998
0.1904	5.83892	4.21442	-3.40581	-0.811027
0.1904	5.90239	4.23413	-3.39122	-0.845405
0.1904	5.96585	4.2501	-3.38049	-0.872106
0.1904	6.02932	4.26251	-3.37466	-0.890309
0.1904	6.09279	4.27153	-3.37446	-0.899449
0.1904	6.15625	4.27727	-3.38026	-0.899256
0.1904	6.21972	4.27973	-3.39205	-0.889782

0.253866	0	4.51835	-4.13803	-0.381423
0.253866	0.0634665	4.51336	-4.14724	-0.367107
0.253866	0.126933	4.50406	-4.15505	-0.349885
0.253866	0.1904	4.49029	-4.16079	-0.330262
0.253866	0.253866	4.47182	-4.16372	-0.308766
0.253866	0.317333	4.44847	-4.16311	-0.28592
0.253866	0.380799	4.42004	-4.15829	-0.262223
0.253866	0.444266	4.3864	-4.14864	-0.238134
0.253866	0.507732	4.34745	-4.13368	-0.214061
0.253866	0.571199	4.30317	-4.11303	-0.190349
0.253866	0.634665	4.25361	-4.08645	-0.167288
0.253866	0.698132	4.19891	-4.05384	-0.145105
0.253866	0.761598	4.13925	-4.01524	-0.123973
0.253866	0.825065	4.07491	-3.97078	-0.104015
0.253866	0.888531	4.00623	-3.92073	-0.0853113
0.253866	0.951998	3.93359	-3.86543	-0.0679047
0.253866	1.01546	3.85742	-3.8053	-0.0518076
0.253866	1.07893	3.77819	-3.74082	-0.0370079
0.253866	1.1424	3.69639	-3.6725	-0.0234739
0.253866	1.20586	3.6125	-3.6009	-0.0111594
0.253866	1.26933	3.52703	-3.52655	-7.14778e-06
0.253866	1.3328	3.44047	-3.45003	0.0100472
0.253866	1.39626	3.3533	-3.37188	0.0190725
0.253866	1.45973	3.26597	-3.29262	0.0271397
0.253866	1.5232	3.17891	-3.21275	0.0343196
0.253866	1.58666	3.09251	-3.13273	0.0406807
0.253866	1.65013	3.00713	-3.05298	0.0462881
0.253866	1.7136	2.92305	-2.97384	0.0512008
0.253866	1.77706	2.84051	-2.8956	0.0554711
0.253866	1.84053	2.75967	-2.81847	0.0591418
0.253866	1.904	2.68059	-2.74253	0.0622444
0.253866	1.96746	2.60323	-2.66776	0.0647966
0.253866	2.03093	2.52736	-2.59394	0.0667996
0.253866	2.0944	2.45259	-2.52065	0.0682338
0.253866	2.15786	2.37822	-2.44715	0.0690552
0.253866	2.22133	2.30321	-2.37233	0.0691894
0.253866	2.28479	2.22605	-2.29456	0.0685263
0.253866	2.34826	2.14458	-2.21154	0.066913
0.253866	2.41173	2.05581	-2.12007	0.0641487
0.253866	2.47519	1.95575	-2.01589	0.0599812
0.253866	2.53866	1.83919	-1.89353	0.0541128
0.253866	2.60213	1.69983	-1.74633	0.0462216
0.253866	2.66559	1.5307	-1.56703	0.0360148
0.253866	2.72906	1.32563	-1.3493	0.0233349
0.253866	2.79253	1.0822	-1.09092	0.00833782
0.253866	2.85599	0.806598	-0.798796	-0.00825392
0.253866	2.91946	0.519295	-0.495029	-0.0248927
0.253866	2.98293	0.258128	-0.21993	-0.0391243
0.253866	3.04639	0.0728145	-0.0261489	-0.0479574
0.253866	3.10986	0.00797893	0.0392574	-0.0488049
0.253866	3.17333	0.0818472	-0.0428448	-0.0406247
0.253866	3.23679	0.276245	-0.253227	-0.0244659
0.253866	3.30026	0.546551	-0.544733	-0.0029619
0.253866	3.36373	0.84299	-0.864615	0.0208085
0.253866	3.42719	1.12765	-1.17246	0.0442906
0.253866	3.49066	1.37997	-1.44607	0.0658459
0.253866	3.55413	1.59371	-1.67842	0.0846773
0.253866	3.61759	1.77125	-1.87165	0.100566
0.253866	3.68106	1.91872	-2.03199	0.113613
0.253866	3.74452	2.04302	-2.16658	0.124057
0.253866	3.80799	2.15047	-2.282	0.132165
0.253866	3.87146	2.24619	-2.38361	0.138183
0.253866	3.93492	2.33416	-2.47559	0.142307
0.253866	3.99839	2.41732	-2.56104	0.144689
0.253866	4.06186	2.49779	-2.64215	0.14543
0.253866	4.12532	2.57705	-2.72049	0.144594
0.253866	4.18879	2.6561	-2.79709	0.142213
0.253866	4.25226	2.73558	-2.87259	0.138292
0.253866	4.31572	2.81587	-2.94735	0.132817
0.253866	4.37919	2.89714	-3.02153	0.125763
0.253866	4.44266	2.97942	-3.09512	0.117095
0.253866	4.50612	3.06262	-3.16798	0.106773
0.253866	4.56959	3.14654	-3.2399	0.0947598
0.253866	4.63306	3.23095	-3.3106	0.0810218
0.253866	4.69652	3.31552	-3.37974	0.0655348
0.253866	4.75999	3.39993	-3.44696	0.0482875
0.253866	4.82346	3.48377	-3.5119	0.0292867
0.253866	4.88692	3.56665	-3.57417	0.0085617
0.253866	4.95039	3.64814	-3.6334	-0.0138312
0.253866	5.01385	3.7278	-3.68925	-0.0378031
0.253866	5.07732	3.80522	-3.74142	-0.0632283
0.253866	5.14079	3.87995	-3.78965	-0.0899388
0.253866	5.20425	3.9516	-3.83373	-0.117721
0.253866	5.26772	4.0198	-3.87357	-0.146311
0.253866	5.33119	4.08419	-3.90911	-0.175395
0.253866	5.39465	4.14449	-3.94043	-0.204608
0.253866	5.45812	4.20046	-3.96769	-0.233533
0.253866	5.52159	4.2519	-3.99116	-0.261714
0.253866	5.58505	4.2987	-4.0112	-0.288659
0.253866	5.64852	4.34079	-4.02826	-0.313854
0.253866	5.71199	4.37818	-4.04285	-0.336784
0.253866	5.77545	4.41092	-4.05551	-0.356946
0.253866	5.83892	4.43911	-4.06681	-0.373881
0.253866	5.90239	4.46286	-4.07727	-0.38719
0.253866	5.96585	4.48231	-4.08732	-0.396562
0.253866	6.02932	4.49759	-4.09732	-0.401789
0.253866	6.09279	4.5088	-4.10745	-0.402786
0.253866	6.15625	4.516	-4.11774	-0.399594
0.253866	6.21972	4.5192	-4.12804	-0.392379

0.317333	0	4.74399	-4.62359	-0.12111
0.317333	0.0634665	4.7383	-4.62442	-0.114518
0.317333	0.126933	4.72736	-4.62098	-0.106953
0.317333	0.1904	4.71105	-4.61293	-0.0986334
0.317333	0.253866	4.68925	-4.59994	-0.0897726
0.317333	0.317333	4.66185	-4.5817	-0.0805722
0.317333	0.380799	4.62878	-4.55795	-0.0712146
0.317333	0.444266	4.59	-4.52848	-0.061859
0.317333	0.507732	4.54551	-4.49317	-0.0526394
0.317333	0.571199	4.49539	-4.452	-0.0436641
0.317333	0.634665	4.4398	-4.40501	-0.0350164
0.317333	0.698132	4.37895	-4.35238	-0.0267565
0.317333	0.761598	4.31312	-4.29434	-0.0189244
0.317333	0.825065	4.24267	-4.23123	-0.0115423
0.317333	0.888531	4.16801	-4.16345	-0.00461777
0.317333	0.951998	4.08959	-4.09145	0.00185371
0.317333	1.01546	4.00791	-4.01576	0.00788598
0.317333	1.07893	3.92349	-3.93692	0.0135002
0.317333	1.1424	3.83688	-3.85549	0.0187228
0.317333	1.20586	3.7486	-3.77204	0.0235842
0.317333	1.26933	3.65921	-3.68715	0.0281171
0.317333	1.3328	3.56921	-3.60137	0.0323558
0.317333	1.39626	3.47912	-3.51523	0.0363352
0.317333	1.45973	3.38939	-3.42924	0.0400899
0.317333	1.5232	3.30045	-3.34385	0.0436538
0.317333	1.58666	3.21267	-3.25947	0.0470594
0.317333	1.65013	3.12638	-3.17646	0.0503371
