#1:k	2:erg1	3:erg2	4:erg3
3.51304	-0.408031	-0.362968	0.408031

3.52564	-0.415592	-0.374671	0.415592

3.53823	-0.423305	-0.386316	0.423305

3.55082	-0.431164	-0.397899	0.431164

3.56341	-0.439167	-0.409419	0.439167

3.576	-0.447307	-0.420874	0.447307

3.58859	-0.455583	-0.432262	0.455583

3.60118	-0.46399	-0.443582	0.46399

3.61378	-0.472526	-0.454832	0.472526

3.62637	-0.481186	-0.466009	0.481186

3.63896	-0.489968	-0.477113	0.489968

3.65155	-0.498869	-0.488141	0.498869

3.66414	-0.507887	-0.499091	0.507887

3.67673	-0.517019	-0.509962	0.517019

3.68933	-0.526263	-0.520753	0.526263

3.70192	-0.535616	-0.531461	0.535616

3.71451	-0.545076	-0.542084	0.545076

3.7271	-0.554641	-0.552622	0.554641

3.73969	-0.564309	-0.563072	0.564309

3.75228	-0.574079	-0.573433	0.574079

3.76487	-0.583948	-0.583703	0.583948

3.77747	-0.593915	-0.59388	0.593915

3.79006	-0.603979	-0.603964	0.603979

3.80265	-0.614136	-0.613951	0.614136

3.81524	-0.624387	-0.623841	0.624387

3.82783	-0.634729	-0.633633	0.634729

3.84042	-0.645161	-0.643323	0.645161

3.85302	-0.655681	-0.652912	0.655681

3.86561	-0.666289	-0.662397	0.666289

3.8782	-0.676983	-0.671778	0.676983

3.89079	-0.687761	-0.681051	0.687761

3.90338	-0.698622	-0.690217	0.698622

3.91597	-0.709565	-0.699273	0.709565

3.92856	-0.720589	-0.708219	0.720589

3.94116	-0.731692	-0.717052	0.731692

3.95375	-0.742873	-0.725772	0.742873

3.96634	-0.754132	-0.734376	0.754132

3.97893	-0.765465	-0.742864	0.765465

3.99152	-0.776874	-0.751234	0.776874

4.00411	-0.788355	-0.759485	0.788355

4.01671	-0.799908	-0.767616	0.799908

4.0293	-0.811532	-0.775625	0.811532

4.04189	-0.823226	-0.783511	0.823226

4.05448	-0.834988	-0.791273	0.834988

4.06707	-0.846817	-0.798909	0.846817

4.07966	-0.858711	-0.806419	0.858711

4.09225	-0.87067	-0.813801	0.87067

4.10485	-0.882693	-0.821053	0.882693

4.11744	-0.894777	-0.828176	0.894777

4.13003	-0.906923	-0.835167	0.906923

4.14262	-0.919127	-0.842026	0.919127

4.15521	-0.93139	-0.848752	0.93139

