#1:kx	2:ky	3:max_coef	4:target_bands
0.167552	0.293215	0.0833769	(0, 1, 2, 3, 4)
0.167552	0.314159	0.0833951	(0, 1, 2, 3, 4)
0.167552	0.335103	0.0834146	(0, 1, 2, 3, 4)
0.167552	0.356047	0.0834352	(0, 1, 2, 3, 4)
0.167552	0.376991	0.0834571	(0, 1, 2, 3, 4)
0.167552	0.397935	0.0834801	(0, 1, 2, 3, 4)

0.188496	0	0.0800127	(0, 1, 2, 3, 4)
0.188496	0.020944	0.0800133	(0, 1, 2, 3, 4)
0.188496	0.0418879	0.0800153	(0, 1, 2, 3, 4)
0.188496	0.0628319	0.0800186	(0, 1, 2, 3, 4)
0.188496	0.0837758	0.0800232	(0, 1, 2, 3, 4)
0.188496	0.10472	0.0800292	(0, 1, 2, 3, 4)
0.188496	0.125664	0.0800365	(0, 1, 2, 3, 4)
0.188496	0.146608	0.080045	(0, 1, 2, 3, 4)
0.188496	0.167552	0.0800549	(0, 1, 2, 3, 4)
0.188496	0.188496	0.0800661	(0, 1, 2, 3, 4)
0.188496	0.20944	0.0800786	(0, 1, 2, 3, 4)
0.188496	0.230383	0.0800924	(0, 1, 2, 3, 4)
0.188496	0.251327	0.0801075	(0, 1, 2, 3, 4)
0.188496	0.272271	0.0801238	(0, 1, 2, 3, 4)
0.188496	0.293215	0.0801414	(0, 1, 2, 3, 4)
0.188496	0.314159	0.0801603	(0, 1, 2, 3, 4)
0.188496	0.335103	0.0801804	(0, 1, 2, 3, 4)
0.188496	0.356047	0.0802017	(0, 1, 2, 3, 4)
0.188496	0.376991	0.0802243	(0, 1, 2, 3, 4)
0.188496	0.397935	0.0802481	(0, 1, 2, 3, 4)

0.20944	0	0.0769632	(0, 1, 2, 3, 4)
0.20944	0.020944	0.0769638	(0, 1, 2, 3, 4)
0.20944	0.0418879	0.0769658	(0, 1, 2, 3, 4)
0.20944	0.0628319	0.0769692	(0, 1, 2, 3, 4)
0.20944	0.0837758	0.0769739	(0, 1, 2, 3, 4)
0.20944	0.10472	0.0769799	(0, 1, 2, 3, 4)
0.20944	0.125664	0.0769873	(0, 1, 2, 3, 4)
0.20944	0.146608	0.076996	(0, 1, 2, 3, 4)
0.20944	0.167552	0.077006	(0, 1, 2, 3, 4)
0.20944	0.188496	0.0770173	(0, 1, 2, 3, 4)
0.20944	0.20944	0.0770299	(0, 1, 2, 3, 4)
0.20944	0.230383	0.0770439	(0, 1, 2, 3, 4)
0.20944	0.251327	0.0770592	(0, 1, 2, 3, 4)
0.20944	0.272271	0.0770757	(0, 1, 2, 3, 4)
0.20944	0.293215	0.0770935	(0, 1, 2, 3, 4)
0.20944	0.314159	0.0771126	(0, 1, 2, 3, 4)
0.20944	0.335103	0.077133	(0, 1, 2, 3, 4)
0.20944	0.356047	0.0771546	(0, 1, 2, 3, 4)
0.20944	0.376991	0.0771774	(0, 1, 2, 3, 4)
0.20944	0.397935	0.0772015	(0, 1, 2, 3, 4)

0.230383	0	0.0740445	(0, 1, 2, 3, 4)
0.230383	0.020944	0.0740452	(0, 1, 2, 3, 4)
0.230383	0.0418879	0.0740472	(0, 1, 2, 3, 4)
0.230383	0.0628319	0.0740506	(0, 1, 2, 3, 4)
0.230383	0.0837758	0.0740553	(0, 1, 2, 3, 4)
0.230383	0.10472	0.0740613	(0, 1, 2, 3, 4)
0.230383	0.125664	0.0740687	(0, 1, 2, 3, 4)
0.230383	0.146608	0.0740774	(0, 1, 2, 3, 4)
0.230383	0.167552	0.0740874	(0, 1, 2, 3, 4)
0.230383	0.188496	0.0740988	(0, 1, 2, 3, 4)
0.230383	0.20944	0.0741114	(0, 1, 2, 3, 4)
0.230383	0.230383	0.0741254	(0, 1, 2, 3, 4)
0.230383	0.251327	0.0741407	(0, 1, 2, 3, 4)
0.230383	0.272271	0.0741573	(0, 1, 2, 3, 4)
0.230383	0.293215	0.0741751	(0, 1, 2, 3, 4)
0.230383	0.314159	0.0741942	(0, 1, 2, 3, 4)
0.230383	0.335103	0.0742146	(0, 1, 2, 3, 4)
0.230383	0.356047	0.0742363	(0, 1, 2, 3, 4)
0.230383	0.376991	0.0742592	(0, 1, 2, 3, 4)
0.230383	0.397935	0.0742833	(0, 1, 2, 3, 4)

0.251327	0	0.0711881	(0, 1, 2, 3, 4)
0.251327	0.020944	0.0711888	(0, 1, 2, 3, 4)
0.251327	0.0418879	0.0711908	(0, 1, 2, 3, 4)
0.251327	0.0628319	0.0711941	(0, 1, 2, 3, 4)
0.251327	0.0837758	0.0711988	(0, 1, 2, 3, 4)
0.251327	0.10472	0.0712049	(0, 1, 2, 3, 4)
0.251327	0.125664	0.0712122	(0, 1, 2, 3, 4)
0.251327	0.146608	0.0712209	(0, 1, 2, 3, 4)
0.251327	0.167552	0.071231	(0, 1, 2, 3, 4)
0.251327	0.188496	0.0712423	(0, 1, 2, 3, 4)
0.251327	0.20944	0.071255	(0, 1, 2, 3, 4)
0.251327	0.230383	0.0712689	(0, 1, 2, 3, 4)
0.251327	0.251327	0.0712842	(0, 1, 2, 3, 4)
0.251327	0.272271	0.0713007	(0, 1, 2, 3, 4)
0.251327	0.293215	0.0713186	(0, 1, 2, 3, 4)
0.251327	0.314159	0.0713377	(0, 1, 2, 3, 4)
0.251327	0.335103	0.071358	(0, 1, 2, 3, 4)
0.251327	0.356047	0.0713796	(0, 1, 2, 3, 4)
0.251327	0.376991	0.0714025	(0, 1, 2, 3, 4)
0.251327	0.397935	0.0714266	(0, 1, 2, 3, 4)

0.272271	0	0.0683104	(0, 1, 2, 3, 4)
0.272271	0.020944	0.0683111	(0, 1, 2, 3, 4)
0.272271	0.0418879	0.0683131	(0, 1, 2, 3, 4)
0.272271	0.0628319	0.0683164	(0, 1, 2, 3, 4)
0.272271	0.0837758	0.0683212	(0, 1, 2, 3, 4)
0.272271	0.10472	0.0683272	(0, 1, 2, 3, 4)
0.272271	0.125664	0.0683346	(0, 1, 2, 3, 4)
0.272271	0.146608	0.0683433	(0, 1, 2, 3, 4)
0.272271	0.167552	0.0683534	(0, 1, 2, 3, 4)
0.272271	0.188496	0.0683648	(0, 1, 2, 3, 4)
0.272271	0.20944	0.0683774	(0, 1, 2, 3, 4)
0.272271	0.230383	0.0683915	(0, 1, 2, 3, 4)
0.272271	0.251327	0.0684068	(0, 1, 2, 3, 4)
0.272271	0.272271	0.0684234	(0, 1, 2, 3, 4)
0.272271	0.293215	0.0684412	(0, 1, 2, 3, 4)
0.272271	0.314159	0.0684604	(0, 1, 2, 3, 4)
0.272271	0.335103	0.0684808	(0, 1, 2, 3, 4)
0.272271	0.356047	0.0685025	(0, 1, 2, 3, 4)
0.272271	0.376991	0.0685254	(0, 1, 2, 3, 4)
0.272271	0.397935	0.0685496	(0, 1, 2, 3, 4)

0.293215	0	0.0653043	(0, 1, 2, 3, 4)
0.293215	0.020944	0.065305	(0, 1, 2, 3, 4)
0.293215	0.0418879	0.065307	(0, 1, 2, 3, 4)
0.293215	0.0628319	0.0653104	(0, 1, 2, 3, 4)
0.293215	0.0837758	0.0653152	(0, 1, 2, 3, 4)
0.293215	0.10472	0.0653214	(0, 1, 2, 3, 4)
0.293215	0.125664	0.0653289	(0, 1, 2, 3, 4)
0.293215	0.146608	0.0653378	(0, 1, 2, 3, 4)
0.293215	0.167552	0.065348	(0, 1, 2, 3, 4)
0.293215	0.188496	0.0653596	(0, 1, 2, 3, 4)
0.293215	0.20944	0.0653725	(0, 1, 2, 3, 4)
0.293215	0.230383	0.0653867	(0, 1, 2, 3, 4)
0.293215	0.251327	0.0654023	(0, 1, 2, 3, 4)
0.293215	0.272271	0.0654191	(0, 1, 2, 3, 4)
0.293215	0.293215	0.0654373	(0, 1, 2, 3, 4)
0.293215	0.314159	0.0654568	(0, 1, 2, 3, 4)
0.293215	0.335103	0.0654775	(0, 1, 2, 3, 4)
0.293215	0.356047	0.0654996	(0, 1, 2, 3, 4)
0.293215	0.376991	0.0655229	(0, 1, 2, 3, 4)
0.293215	0.397935	0.0655474	(0, 1, 2, 3, 4)

0.314159	0	0.0620298	(0, 1, 2, 3, 4)
0.314159	0.020944	0.0620305	(0, 1, 2, 3, 4)
0.314159	0.0418879	0.0620327	(0, 1, 2, 3, 4)
0.314159	0.0628319	0.0620363	(0, 1, 2, 3, 4)
0.314159	0.0837758	0.0620413	(0, 1, 2, 3, 4)
0.314159	0.10472	0.0620477	(0, 1, 2, 3, 4)
0.314159	0.125664	0.0620555	(0, 1, 2, 3, 4)
0.314159	0.146608	0.0620648	(0, 1, 2, 3, 4)
0.314159	0.167552	0.0620755	(0, 1, 2, 3, 4)
