#1:t	2:m	3:min_gap
2.08	0.3	1.44903
2.1	0.3	1.48067
2.12	0.3	1.51222
2.14	0.3	1.54368
2.16	0.3	1.57507
2.18	0.3	1.60637
2.2	0.3	1.58879
2.22	0.3	1.56343
2.24	0.3	1.53805
2.26	0.3	1.51268
2.28	0.3	1.48731
2.3	0.3	1.46193
2.32	0.3	1.43656
2.34	0.3	1.41119
2.36	0.3	1.38581
2.38	0.3	1.36044
2.4	0.3	1.33507
2.42	0.3	1.30969
2.44	0.3	1.28432
2.46	0.3	1.25895
2.48	0.3	1.23358
2.5	0.3	1.20821
2.52	0.3	1.18284
2.54	0.3	1.15747
2.56	0.3	1.1321
2.58	0.3	1.10673
2.6	0.3	1.08136
2.62	0.3	1.05599
2.64	0.3	1.03062
2.66	0.3	1.00526
2.68	0.3	0.979889
2.7	0.3	0.954523
2.72	0.3	0.929158
2.74	0.3	0.903794
2.76	0.3	0.878431
2.78	0.3	0.853069
2.8	0.3	0.827708
2.82	0.3	0.802348
2.84	0.3	0.776989
2.86	0.3	0.751632
2.88	0.3	0.726276
2.9	0.3	0.700923
2.92	0.3	0.675571
2.94	0.3	0.650221
2.96	0.3	0.624874
2.98	0.3	0.59953
3	0.3	0.574189
3.02	0.3	0.548851
3.04	0.3	0.523517
3.06	0.3	0.498189
3.08	0.3	0.472865
3.1	0.3	0.447548
3.12	0.3	0.422239
3.14	0.3	0.396939
3.16	0.3	0.371649
3.18	0.3	0.346373
3.2	0.3	0.321113
3.22	0.3	0.295873
3.24	0.3	0.27066
3.26	0.3	0.245481
3.28	0.3	0.220348
3.3	0.3	0.195279
3.32	0.3	0.170302
3.34	0.3	0.145464
3.36	0.3	0.120851
3.38	0.3	0.0966354
3.4	0.3	0.0732129
3.42	0.3	0.0516727
3.44	0.3	0.0356122
3.46	0.3	0.0339794
3.48	0.3	0.0482616
3.5	0.3	0.0692241
3.52	0.3	0.0924282
3.54	0.3	0.116543
3.56	0.3	0.141101
3.58	0.3	0.165907
3.6	0.3	0.161844
3.62	0.3	0.136481
3.64	0.3	0.111122
3.66	0.3	0.0857708
3.68	0.3	0.0604356
3.7	0.3	0.0351527
3.72	0.3	0.0103168
3.74	0.3	0.0162687
3.76	0.3	0.0413576
3.78	0.3	0.066662
3.8	0.3	0.0920044
3.82	0.3	0.11736
3.84	0.3	0.142723
