#1:t	2:m	3:min_gap
0.2	-1.7	0.742928
0.22	-1.7	0.70493
0.24	-1.7	0.631465
0.26	-1.7	0.55946
0.28	-1.7	0.489104
0.3	-1.7	0.420766
0.32	-1.7	0.354695
0.34	-1.7	0.291294
0.36	-1.7	0.231058
0.38	-1.7	0.174443
0.4	-1.7	0.122127
0.42	-1.7	0.074559
0.44	-1.7	0.0321479
0.46	-1.7	0.00525159
0.48	-1.7	0.0342455
0.5	-1.7	0.0574281
0.52	-1.7	0.0740771
0.54	-1.7	0.0842926
0.56	-1.7	0.0884164
0.58	-1.7	0.0872339
0.6	-1.7	0.0809643
0.62	-1.7	0.0707085
0.64	-1.7	0.0567271
0.66	-1.7	0.0400588
0.68	-1.7	0.0203984
0.7	-1.7	0.00406449
0.72	-1.7	0.0251295
0.74	-1.7	0.0501972
0.76	-1.7	0.0764135
0.78	-1.7	0.103888
0.8	-1.7	0.132161
0.82	-1.7	0.16118
0.84	-1.7	0.190715
0.86	-1.7	0.220924
0.88	-1.7	0.251582
0.9	-1.7	0.282584
0.92	-1.7	0.313883
0.94	-1.7	0.345466
0.96	-1.7	0.375069
0.98	-1.7	0.375097

-1	-1.6	0.334617
-0.98	-1.6	0.333924
-0.96	-1.6	0.328973
-0.94	-1.6	0.2966
-0.92	-1.6	0.264095
-0.9	-1.6	0.231897
-0.88	-1.6	0.200025
-0.86	-1.6	0.168546
-0.84	-1.6	0.137623
-0.82	-1.6	0.106915
-0.8	-1.6	0.0767533
-0.78	-1.6	0.047851
-0.76	-1.6	0.0202897
-0.74	-1.6	0.00997201
-0.72	-1.6	0.0353359
-0.7	-1.6	0.059282
-0.68	-1.6	0.0823796
-0.66	-1.6	0.102936
-0.64	-1.6	0.120826
-0.62	-1.6	0.135855
-0.6	-1.6	0.146951
-0.58	-1.6	0.153592
-0.56	-1.6	0.155137
-0.54	-1.6	0.150876
-0.52	-1.6	0.139878
-0.5	-1.6	0.12202
-0.48	-1.6	0.0969741
-0.46	-1.6	0.0647215
-0.44	-1.6	0.0257849
-0.42	-1.6	0.0200222
-0.4	-1.6	0.0699687
-0.38	-1.6	0.12546
-0.36	-1.6	0.184867
-0.34	-1.6	0.247982
-0.32	-1.6	0.314049
-0.3	-1.6	0.382735
-0.28	-1.6	0.453587
-0.26	-1.6	0.526339
-0.24	-1.6	0.6006
-0.22	-1.6	0.676224
-0.2	-1.6	0.624137
-0.18	-1.6	0.553017
-0.16	-1.6	0.478963
-0.14	-1.6	0.402858
-0.12	-1.6	0.325353
-0.1	-1.6	0.246886
-0.08	-1.6	0.167785
-0.06	-1.6	0.0882071
-0.04	-1.6	0.00840188
-0.02	-1.6	0.0718005
8.88178e-16	-1.6	0.151965
0.02	-1.6	0.0718004
0.04	-1.6	0.00840243
0.06	-1.6	0.088207
0.08	-1.6	0.167785
0.1	-1.6	0.246886
0.12	-1.6	0.325353
0.14	-1.6	0.402858
0.16	-1.6	0.478963
0.18	-1.6	0.553017
0.2	-1.6	0.624137
0.22	-1.6	0.676224
0.24	-1.6	0.6006
0.26	-1.6	0.526339
0.28	-1.6	0.453587
0.3	-1.6	0.382735
0.32	-1.6	0.314049
0.34	-1.6	0.247983
0.36	-1.6	0.184867
0.38	-1.6	0.125461
0.4	-1.6	0.0699699
0.42	-1.6	0.0200297
0.44	-1.6	0.0257862
0.46	-1.6	0.0647225
0.48	-1.6	0.0969728
0.5	-1.6	0.122021
0.52	-1.6	0.139878
0.54	-1.6	0.150875
0.56	-1.6	0.155137
0.58	-1.6	0.153592
0.6	-1.6	0.146952
0.62	-1.6	0.135853
0.64	-1.6	0.120827
0.66	-1.6	0.102934
0.68	-1.6	0.0823763
0.7	-1.6	0.059284
0.72	-1.6	0.0353275
0.74	-1.6	0.00994984
0.76	-1.6	0.0202747
0.78	-1.6	0.0478569
0.8	-1.6	0.0767521
0.82	-1.6	0.106918
0.84	-1.6	0.13762
0.86	-1.6	0.168545
0.88	-1.6	0.200024
0.9	-1.6	0.231895
0.92	-1.6	0.264093
0.94	-1.6	0.296601
0.96	-1.6	0.328974
0.98	-1.6	0.333924

-1	-1.5	0.295467
-0.98	-1.5	0.294896
-0.96	-1.5	0.282724
-0.94	-1.5	0.249412
-0.92	-1.5	0.216366
-0.9	-1.5	0.183547
-0.88	-1.5	0.150927
-0.86	-1.5	0.11849
-0.84	-1.5	0.0862676
-0.82	-1.5	0.0544782
-0.8	-1.5	0.0247287
-0.78	-1.5	0.00695491
-0.76	-1.5	0.0368685
-0.74	-1.5	0.0653329
-0.72	-1.5	0.0924383
-0.7	-1.5	0.118336
-0.68	-1.5	0.142368
-0.66	-1.5	0.164296
-0.64	-1.5	0.183676
-0.62	-1.5	0.199723
-0.6	-1.5	0.211762
-0.58	-1.5	0.219233
-0.56	-1.5	0.221167
-0.54	-1.5	0.216715
-0.52	-1.5	0.205172
-0.5	-1.5	0.186057
-0.48	-1.5	0.15911
-0.46	-1.5	0.124607
-0.44	-1.5	0.0828537
-0.42	-1.5	0.034868
-0.4	-1.5	0.0190648
-0.38	-1.5	0.0771741
-0.36	-1.5	0.139765
-0.34	-1.5	0.205591
-0.32	-1.5	0.274321
-0.3	-1.5	0.345542
-0.28	-1.5	0.418821
-0.26	-1.5	0.493827
-0.24	-1.5	0.570298
-0.22	-1.5	0.576438
-0.2	-1.5	0.511853
-0.18	-1.5	0.441824
-0.16	-1.5	0.368204
-0.14	-1.5	0.292209
-0.12	-1.5	0.214611
-0.1	-1.5	0.135919
-0.08	-1.5	0.0565015
-0.06	-1.5	0.0235254
-0.04	-1.5	0.103872
-0.02	-1.5	0.184335
8.88178e-16	-1.5	0.264967
0.02	-1.5	0.184335
0.04	-1.5	0.103872
0.06	-1.5	0.0235253
0.08	-1.5	0.0565014
0.1	-1.5	0.135919
0.12	-1.5	0.214611
0.14	-1.5	0.292209
0.16	-1.5	0.368204
0.18	-1.5	0.441825
0.2	-1.5	0.511853
0.22	-1.5	0.576438
0.24	-1.5	0.570299
0.26	-1.5	0.493827
0.28	-1.5	0.418821
0.3	-1.5	0.345542
0.32	-1.5	0.274321
0.34	-1.5	0.205591
0.36	-1.5	0.139766
0.38	-1.5	0.0771735
0.4	-1.5	0.0190597
0.42	-1.5	0.0348692
0.44	-1.5	0.082854
0.46	-1.5	0.124606
0.48	-1.5	0.159111
0.5	-1.5	0.186056
0.52	-1.5	0.205172
0.54	-1.5	0.216715
0.56	-1.5	0.221166
0.58	-1.5	0.219234
0.6	-1.5	0.211762
0.62	-1.5	0.199722
0.64	-1.5	0.183677
0.66	-1.5	0.164295
0.68	-1.5	0.142368
0.7	-1.5	0.118335
0.72	-1.5	0.0924397
0.74	-1.5	0.0653368
0.76	-1.5	0.0368747
0.78	-1.5	0.00695891
0.8	-1.5	0.0247142
0.82	-1.5	0.0544783
0.84	-1.5	0.0862709
0.86	-1.5	0.118494
0.88	-1.5	0.15093
0.9	-1.5	0.18355
0.92	-1.5	0.216368
0.94	-1.5	0.249413
0.96	-1.5	0.282723
0.98	-1.5	0.294896

-1	-1.4	0.258539
-0.98	-1.4	0.258082
-0.96	-1.4	0.239007
-0.94	-1.4	0.204717
-0.92	-1.4	0.170723
-0.9	-1.4	0.136987
-0.88	-1.4	0.103469
-0.86	-1.4	0.0701432
-0.84	-1.4	0.0370353
